Product,URL,Affiliate ID,Commission Rate,Application Status,Date Applied,Approval Status,Date Approved,Link Status,Priority,CTAs on Site,Importance Score,Notes
Notion,https://notion.so,WAITLIST,50% first year,Submitted,2026-02-03,Waitlist,,N/A,P1 - Critical,37,Critical,"Submitted but on waitlist - check back later. Most mentioned tool (37 CTAs). Partnership/ClickUp comparison article."
ClickUp,https://clickup.com,PENDING,30% recurring,Applied,2026-02-03,Pending,,N/A,P1 - Critical,38,Critical,"PartnerStack pending approval. 2nd most mentioned (38 CTAs). Direct competitor to Notion."
ChatGPT/OpenAI,https://chatgpt.com,N/A,N/A,Researching,,Not Available,,N/A,P1 - Critical,21,High,"No affiliate program - mention but no commission. Free tool, high traffic driver."
Make,https://make.com,[ENTER ID],20-30%,Applied,2026-02-03,Approved,2026-02-03,Active,P1 - Critical,21,High,"Direct program (NOT PartnerStack). 21 mentions across articles. Automation focus."
Copy.ai,https://copy.ai,N/A,30% recurring,Researching,,No Program Found,,N/A,P2 - High,26,High,"Cannot find affiliate program - skip. 26 mentions. Writing tools category leader."
Jasper,https://jasper.ai,N/A,30% recurring,Researching,,No Program Found,,N/A,P2 - High,20,High,"Cannot find affiliate program - skip. 20 mentions. Writing tools competitor."
Descript,https://descript.com,PENDING,30% recurring,Applied,2026-02-03,Pending,,N/A,P2 - High,17,High,"PartnerStack - needs commission first. 17 mentions. Video/audio editing for creators."
Zapier,https://zapier.com,PENDING,30% recurring,Researching,,Pending,,N/A,P2 - High,14,Medium,"No direct program found - needs verification. 14 mentions. Automation competitor to Make."
HubSpot,https://hubspot.com,PENDING,Varies,Researching,,Pending,,N/A,P2 - High,16,High,"16 mentions. CRM/Marketing hub. Real estate article focus."
Canva,https://canva.com,N/A,Varies,Researching,,Pending,,N/A,P3 - Medium,24,High,"24 mentions. Design tool. Check affiliate availability. High user demand."
Grammarly,https://grammarly.com,N/A,Varies,Researching,,Pending,,N/A,P3 - Medium,4,Low,"4 mentions. Writing assistant. Check affiliate availability."
Airtable,https://airtable.com,N/A,Varies,Researching,,Pending,,N/A,P3 - Medium,6,Medium,"6 mentions. Database/spreadsheet. Notion alternative."
ConvertKit,https://convertkit.com,PENDING,30% recurring,Researching,,Pending,,N/A,P3 - Medium,10,Medium,"10 mentions. Email marketing for creators. PartnerStack alternative."
Mailchimp,https://mailchimp.com,PENDING,Varies,Researching,,Pending,,N/A,P3 - Medium,10,Medium,"10 mentions. Email marketing. Check affiliate availability."
Zoho,https://zoho.com,N/A,Varies,Researching,,Pending,,N/A,P4 - Low,0,Low,"0 mentions. CRM/Productivity suite. Consider if expanding."
QuickBooks,https://quickbooks.intuit.com,N/A,Varies,Researching,,Pending,,N/A,P4 - Low,0,Low,"0 mentions. Accounting software. Consider if expanding."
Stripe,https://stripe.com,N/A,Varies,Researching,,Pending,,N/A,P4 - Low,0,Low,"0 mentions. Payment processing. Consider if expanding."
PayPal,https://paypal.com,N/A,Varies,Researching,,Pending,,N/A,P4 - Low,0,Low,"0 mentions. Payment processing. Consider if expanding."
Buffer,https://buffer.com,N/A,Varies,Researching,,Pending,,N/A,P4 - Low,2,Low,"2 mentions. Social media scheduling. Check availability."
Hootsuite,https://hootsuite.com,N/A,Varies,Researching,,Pending,,N/A,P4 - Low,1,Low,"1 mention. Social media management. Check availability."
Asana,https://asana.com,N/A,Varies,Researching,,Pending,,N/A,P4 - Low,0,Low,"0 mentions. Project management. Consider if expanding."
Monday.com,https://monday.com,N/A,Varies,Researching,,Pending,,N/A,P4 - Low,0,Low,"0 mentions. Project management. Consider if expanding."
Trello,https://trello.com,N/A,Varies,Researching,,Pending,,N/A,P4 - Low,0,Low,"0 mentions. Project management. Consider if expanding."
ActiveCampaign,https://activecampaign.com,N/A,Varies,Researching,,Pending,,N/A,P4 - Low,1,Low,"1 mention. Email automation. Check availability."
Rytr,https://rytr.me,N/A,Varies,Researching,,Pending,,N/A,P4 - Low,0,Low,"0 mentions. AI writing tool. Check availability."
Runway,https://runwayml.com,N/A,Varies,Researching,,Pending,,N/A,P4 - Low,0,Low,"0 mentions. Video editing AI. Consider if expanding."
Midjourney,https://midjourney.com,N/A,N/A,Researching,,Not Available,,N/A,P5 - No Program,N/A,Low,"Discord-based, no affiliate program. Image generation."
Adobe,https://adobe.com,N/A,Varies,Researching,,Pending,,N/A,P5 - No Program,0,Low,"Complex program - consider later. Creative tools."
Slack,https://slack.com,N/A,Varies,Researching,,Pending,,N/A,P5 - No Program,0,Low,"Communication tool. Check availability."
Later,https://later.com,N/A,Varies,Researching,,Pending,,N/A,P5 - No Program,0,Low,"Social media scheduling. Check availability."
Remove.bg,https://remove.bg,N/A,Varies,Researching,,Pending,,N/A,P5 - No Program,0,Low,"Image background removal. Check availability."
Writesonic,https://writesonic.com,N/A,30% recurring,Researching,,Pending,,N/A,P5 - No Program,0,Low,"Writing tool competitor. Check availability."
