Product,URL,Affiliate URL,Affiliate ID,Commission Rate,Application Status,Date Applied,Approval Status,Date Approved,Link Status,Priority,CTAs on Site,Importance,Notes
Make,https://make.com,https://www.make.com/en/register?pc=aipreneurtools,,20-30%,Applied,2026-02-03,Approved,2026-02-03,Active,P1 - Critical,6,Critical,"Direct program approved. #1 affiliate partner."
ClickUp,https://clickup.com,PENDING,,30% recurring,Applied,2026-02-03,Pending,,N/A,P1 - Critical,4,Critical,"PartnerStack pending. Project management."
Buffer,https://buffer.com,PENDING,,N/A,Applied,2026-02-04,Pending,,N/A,P1 - Critical,3,High,"Applying now. Social media scheduling."
Notion,https://notion.so,WAITLIST,,50% first year,Submitted,2026-02-03,Waitlist,,N/A,P1 - Critical,3,Critical,"Submitted but on waitlist. All-in-one workspace."
Canva,https://canva.com,,,N/A,Researching,,Pending,,N/A,P2 - High,3,High,"Apply to Empower Canvassador Program. Design platform."
ChatGPT/OpenAI,https://chatgpt.com,,,,,Not Available,,Not Available,P1 - Critical,3,High,"No affiliate program. Free AI tool, high traffic driver."
HubSpot,https://hubspot.com,,,Varies,Researching,,Pending,,N/A,P2 - High,2,High,"CRM/Marketing. Appears in real estate article."
Zapier,https://zapier.com,PENDING,,30%,Researching,,Pending,,N/A,P2 - High,2,Medium,"No direct program found. Appears in real estate article."
Grammarly,https://grammarly.com,,,30%,Researching,,Pending,,N/A,P2 - High,1,High,"Check availability. Writing assistant."
Writesonic,https://writesonic.com,,,30%,Researching,,Pending,,N/A,P2 - High,1,Medium,"AI writing tool. Appears on homepage top picks."
Mailchimp,https://mailchimp.com,,,Varies,Researching,,Pending,,N/A,P3 - Medium,1,Medium,"Email marketing. Appears in real estate article."
Calendly,https://calendly.com,,,Varies,Researching,,Pending,,N/A,P3 - Medium,1,Low,"Scheduling. Appears in real estate article."
DocuSign,https://docusign.com,,,Varies,Researching,,Pending,,N/A,P3 - Low,1,Low,"E-signatures. Appears in real estate article."
JotForm,https://jotform.com,,,Varies,Researching,,Pending,,N/A,P3 - Low,1,Low,"Forms. Appears in real estate article."
Claude,https://claude.ai,,,,,Not Available,,Not Available,P2 - Medium,1,Medium,"No affiliate program. AI assistant."
Jasper,https://jasper.ai,,,30%,Researching,,No Program,,N/A,P2 - Medium,1,Medium,"No affiliate program found. AI writing tool."
Todoist,https://todoist.com,,,,,Not Available,,Not Available,P2 - Medium,1,Medium,"No affiliate program. Task management."
Loom,https://loom.com,,,,,Not Available,,Not Available,P2 - Medium,1,Medium,"No affiliate program. Video messaging."
Otter.ai,https://otter.ai,,,,,Not Available,,Not Available,P2 - Medium,1,Medium,"No affiliate program. Meeting transcription."
Wave,https://waveapps.com,,,,,Not Available,,Not Available,P2 - Medium,1,Medium,"No affiliate program. Free accounting."
Midjourney,https://midjourney.com,,,,,Not Available,,Not Available,P3 - Low,1,Low,"No affiliate program. Discord-based image generation."
Remove.bg,https://remove.bg,,,,,Not Available,,Not Available,P3 - Low,1,Low,"No affiliate program. Requires business registration."
ConvertKit,https://convertkit.com,,,30%,Applied,2026-02-03,Approved,2026-02-03,Active,P1 - Critical,0,High,"PartnerStack approved. Form ID: 9049288. Email marketing."
Descript,https://descript.com,PENDING,,30% recurring,Applied,2026-02-03,Pending,,N/A,P2 - High,0,High,"PartnerStack pending. Video/audio editing."
Copy.ai,https://copy.ai,,,30%,Researching,,No Program,,N/A,P2 - High,0,High,"Cannot find affiliate program. AI writing."
Adobe,https://adobe.com,,,Varies,Researching,,Pending,,N/A,P4 - Low,0,Low,"Complex program. Creative tools."
Slack,https://slack.com,,,Varies,Researching,,Pending,,N/A,P4 - Low,0,Low,"Communication tool. Check availability."
Airtable,https://airtable.com,,,Varies,Researching,,Pending,,N/A,P3 - Medium,0,Medium,"Database/spreadsheet. Notion alternative."
Asana,https://asana.com,,,Varies,Researching,,Pending,,N/A,P4 - Low,0,Low,"Project management. Check availability."
Monday.com,https://monday.com,,,Varies,Researching,,Pending,,N/A,P4 - Low,0,Low,"Project management. Check availability."
Trello,https://trello.com,,,Varies,Researching,,Pending,,N/A,P4 - Low,0,Low,"Project management. Check availability."
ActiveCampaign,https://activecampaign.com,,,Varies,Researching,,Pending,,N/A,P4 - Low,0,Low,"Email automation. Check availability."
Hootsuite,https://hootsuite.com,,,Varies,Researching,,Pending,,N/A,P4 - Low,0,Low,"Social media. Check availability."
Later,https://later.com,,,Varies,Researching,,Pending,,N/A,P4 - Low,0,Low,"Social scheduling. Check availability."
QuickBooks,https://quickbooks.intuit.com,,,Varies,Researching,,Pending,,N/A,P4 - Low,0,Low,"Accounting. Check availability."
Stripe,https://stripe.com,,,Varies,Researching,,Pending,,N/A,P4 - Low,0,Low,"Payments. Check availability."
PayPal,https://paypal.com,,,Varies,Researching,,Pending,,N/A,P4 - Low,0,Low,"Payments. Check availability."
Rytr,https://rytr.me,,,Varies,Researching,,Pending,,N/A,P4 - Low,0,Low,"AI writing. Check availability."
Runway,https://runwayml.com,,,Varies,Researching,,Pending,,N/A,P4 - Low,0,Low,"Video AI. Check availability."
